Model	Type	Row	Area	AreaAbs	Pattern	TimeStep	TotalCAsize	Neurons_Shared0	Neurons_Shared1	Neurons_Shared2	Neurons_Shared3
M02	pair33	1	6	6	P1	7	10		236#333#406#56#59	4#356#501#284#286	
M02	pair33	2	1	7	P1	7	1	280			
M02	pair33	2	2	8	P1	7	3	506#53#133			
M02	pair33	2	3	9	P1	7	5	482#553#534#538#31			
M02	pair33	2	4	10	P1	7	10	325#7#456#76#12#432#529#181#278#605			
M02	pair33	2	5	11	P1	7	3	584#436#551			
M02	pair33	2	6	12	P1	7	0				
M02	pair33	1	1	1	P1	8	5		427#31	197#6#600	
M02	pair33	1	2	2	P1	8	13	229#501	577#2#163#10#13#276#249#507	353#580#459	
M02	pair33	1	3	3	P1	8	15	1#325#586#303#560#84	483#57#379#61	551#296#557#63#287	
M02	pair33	1	4	4	P1	8	16	105#554#380	454#330#110#337#152	550#294#402#531#156#29#381#159	
M02	pair33	1	5	5	P1	8	17	483#59#79#377#27	580#101#354#331#364#430#527#501#255	226#237#286	
M02	pair33	1	6	6	P1	8	10		376#236#333#56#59	4#356#501#284#286	
M02	pair33	2	1	7	P1	8	1	280			
M02	pair33	2	2	8	P1	8	3	33#506#53			
M02	pair33	2	3	9	P1	8	5	482#553#534#380#31			
M02	pair33	2	4	10	P1	8	9	7#456#12#76#432#529#181#278#605			
M02	pair33	2	5	11	P1	8	2	584#551			
M02	pair33	2	6	12	P1	8	0				
M02	pair33	1	1	1	P1	9	5		427#31	197#6#600	
M02	pair33	1	2	2	P1	9	6		10#13#507	353#580#459	
M02	pair33	1	3	3	P1	9	15	1#325#586#303#560#84	483#57#379#61	551#296#557#63#287	
M02	pair33	1	4	4	P1	9	14	105#554#380	454#330#110#152	550#156#402#531#29#381#159	
M02	pair33	1	5	5	P1	9	13	483#79#377#59	354#331#430#527#501#255	226#237#286	
M02	pair33	1	6	6	P1	9	6		333#56#59	356#501#286	
M02	pair33	2	1	7	P1	9	1	280			
M02	pair33	2	2	8	P1	9	5	33#454#53#181#506			
M02	pair33	2	3	9	P1	9	5	482#553#534#380#31			
M02	pair33	2	4	10	P1	9	10	7#456#12#76#460#432#529#181#278#605			
M02	pair33	2	5	11	P1	9	2	584#551			
M02	pair33	2	6	12	P1	9	0				
M02	pair33	1	1	1	P1	10	5		427#31	197#6#600	
M02	pair33	1	2	2	P1	10	6		10#13#507	353#580#459	
M02	pair33	1	3	3	P1	10	14	1#325#586#303#560#84	483#57#379#61	551#557#63#287	
M02	pair33	1	4	4	P1	10	14	105#554#380	454#330#110#336	550#156#402#531#29#381#159	
M02	pair33	1	5	5	P1	10	11	483#79#377	354#331#527#501#255	226#237#286	
M02	pair33	1	6	6	P1	10	4		56#59	501#286	
M02	pair33	2	1	7	P1	10	0				
M02	pair33	2	2	8	P1	10	5	33#454#53#181#506			
M02	pair33	2	3	9	P1	10	5	482#553#534#380#31			
M02	pair33	2	4	10	P1	10	10	7#456#12#76#460#432#529#181#278#605			
M02	pair33	2	5	11	P1	10	2	584#551			
M02	pair33	2	6	12	P1	10	1	32			
M02	pair33	1	1	1	P1	11	5		427#31	197#6#600	
M02	pair33	1	2	2	P1	11	3		507	459#580	
M02	pair33	1	3	3	P1	11	14	1#325#586#303#560#84	483#57#379#61	551#557#63#287	
M02	pair33	1	4	4	P1	11	14	105#554#380	454#330#110#336	550#156#402#531#29#381#159	
M02	pair33	1	5	5	P1	11	9	483#79#377	354#331#527#255	237#286	
M02	pair33	1	6	6	P1	11	2		59	501	
M02	pair33	2	1	7	P1	11	0				
M02	pair33	2	2	8	P1	11	7	33#454#106#555#53#181#506			
M02	pair33	2	3	9	P1	11	5	482#553#534#380#31			
M02	pair33	2	4	10	P1	11	8	7#456#12#76#529#181#278#605			
M02	pair33	2	5	11	P1	11	3	584#186#610			
M02	pair33	2	6	12	P1	11	0				
M02	pair33	1	1	1	P1	12	5		427#31	197#6#600	
M02	pair33	1	2	2	P1	12	3		507	459#580	
M02	pair33	1	3	3	P1	12	10	325#586#560	483#57#379#61	551#557#287	
M02	pair33	1	4	4	P1	12	12	105#554#380	454#330#110	550#402#531#29#381#159	
M02	pair33	1	5	5	P1	12	9	483#79#377	354#331#527#255	237#286	
M02	pair33	1	6	6	P1	12	2		59	501	
M02	pair33	2	1	7	P1	12	0				
M02	pair33	2	2	8	P1	12	5	454#106#555#53#181			
M02	pair33	2	3	9	P1	12	5	482#553#534#380#31			
M02	pair33	2	4	10	P1	12	10	160#7#456#203#12#76#529#181#278#605			
M02	pair33	2	5	11	P1	12	2	610#510			
M02	pair33	2	6	12	P1	12	0				
M02	pair33	1	1	1	P1	13	1			600	
M02	pair33	1	2	2	P1	13	3		507	459#580	
M02	pair33	1	3	3	P1	13	7	325#586#560	483#61	551#557	
M02	pair33	1	4	4	P1	13	9	105#554	454#330	550#402#531#29#381	
M02	pair33	1	5	5	P1	13	4	377#483	354#331		
M02	pair33	1	6	6	P1	13	2		59	501	
M02	pair33	2	1	7	P1	13	0				
M02	pair33	2	2	8	P1	13	2	53#454			
M02	pair33	2	3	9	P1	13	4	553#482#534#31			
M02	pair33	2	4	10	P1	13	7	7#456#12#76#84#181#605			
M02	pair33	2	5	11	P1	13	2	610#510			
M02	pair33	2	6	12	P1	13	0				
M02	pair33	1	1	1	P1	14	1			600	
M02	pair33	1	2	2	P1	14	3		507	459#580	
M02	pair33	1	3	3	P1	14	3		483	557#551	
M02	pair33	1	4	4	P1	14	7	105#554	454	550#402#531#29	
M02	pair33	1	5	5	P1	14	4	377#483	354#331		
M02	pair33	1	6	6	P1	14	2		59	501	
M02	pair33	2	1	7	P1	14	0				
M02	pair33	2	2	8	P1	14	1	454			
M02	pair33	2	3	9	P1	14	4	553#482#534#31			
M02	pair33	2	4	10	P1	14	7	7#456#12#76#84#181#605			
M02	pair33	2	5	11	P1	14	2	610#510			
M02	pair33	2	6	12	P1	14	0				
M02	pair33	1	1	1	P1	15	1			600	
M02	pair33	1	2	2	P1	15	3		507	459#580	
M02	pair33	1	3	3	P1	15	3		483	557#551	
M02	pair33	1	4	4	P1	15	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	15	4	377#483	354#331		
M02	pair33	1	6	6	P1	15	2		59	501	
M02	pair33	2	1	7	P1	15	0				
M02	pair33	2	2	8	P1	15	1	454			
M02	pair33	2	3	9	P1	15	4	553#482#534#31			
M02	pair33	2	4	10	P1	15	5	7#12#76#84#181			
M02	pair33	2	5	11	P1	15	2	610#510			
M02	pair33	2	6	12	P1	15	0				
M02	pair33	1	1	1	P1	16	1			600	
M02	pair33	1	2	2	P1	16	3		507	459#580	
M02	pair33	1	3	3	P1	16	3		483	557#551	
M02	pair33	1	4	4	P1	16	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	16	4	377#483	354#331		
M02	pair33	1	6	6	P1	16	2		59	501	
M02	pair33	2	1	7	P1	16	0				
M02	pair33	2	2	8	P1	16	1	454			
M02	pair33	2	3	9	P1	16	3	553#482#31			
M02	pair33	2	4	10	P1	16	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	16	2	610#510			
M02	pair33	2	6	12	P1	16	0				
M02	pair33	1	1	1	P1	17	1			600	
M02	pair33	1	2	2	P1	17	3		507	459#580	
M02	pair33	1	3	3	P1	17	3		483	557#551	
M02	pair33	1	4	4	P1	17	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	17	4	377#483	354#331		
M02	pair33	1	6	6	P1	17	2		59	501	
M02	pair33	2	1	7	P1	17	0				
M02	pair33	2	2	8	P1	17	1	454			
M02	pair33	2	3	9	P1	17	3	553#482#31			
M02	pair33	2	4	10	P1	17	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	17	2	610#510			
M02	pair33	2	6	12	P1	17	0				
M02	pair33	1	1	1	P1	18	1			600	
M02	pair33	1	2	2	P1	18	3		507	459#580	
M02	pair33	1	3	3	P1	18	3		483	557#551	
M02	pair33	1	4	4	P1	18	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	18	4	377#483	354#331		
M02	pair33	1	6	6	P1	18	2		59	501	
M02	pair33	2	1	7	P1	18	0				
M02	pair33	2	2	8	P1	18	1	454			
M02	pair33	2	3	9	P1	18	3	553#482#31			
M02	pair33	2	4	10	P1	18	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	18	2	610#510			
M02	pair33	2	6	12	P1	18	0				
M02	pair33	1	1	1	P1	19	1			600	
M02	pair33	1	2	2	P1	19	3		507	459#580	
M02	pair33	1	3	3	P1	19	3		483	557#551	
M02	pair33	1	4	4	P1	19	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	19	4	377#483	354#331		
M02	pair33	1	6	6	P1	19	2		59	501	
M02	pair33	2	1	7	P1	19	0				
M02	pair33	2	2	8	P1	19	1	454			
M02	pair33	2	3	9	P1	19	3	553#482#31			
M02	pair33	2	4	10	P1	19	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	19	2	610#510			
M02	pair33	2	6	12	P1	19	0				
M02	pair33	1	1	1	P1	20	1			600	
M02	pair33	1	2	2	P1	20	3		507	459#580	
M02	pair33	1	3	3	P1	20	3		483	557#551	
M02	pair33	1	4	4	P1	20	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	20	4	377#483	354#331		
M02	pair33	1	6	6	P1	20	2		59	501	
M02	pair33	2	1	7	P1	20	0				
M02	pair33	2	2	8	P1	20	1	454			
M02	pair33	2	3	9	P1	20	3	553#482#31			
M02	pair33	2	4	10	P1	20	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	20	2	610#510			
M02	pair33	2	6	12	P1	20	0				
M02	pair33	1	1	1	P1	21	1			600	
M02	pair33	1	2	2	P1	21	3		507	459#580	
M02	pair33	1	3	3	P1	21	3		483	557#551	
M02	pair33	1	4	4	P1	21	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	21	4	377#483	354#331		
M02	pair33	1	6	6	P1	21	2		59	501	
M02	pair33	2	1	7	P1	21	0				
M02	pair33	2	2	8	P1	21	1	454			
M02	pair33	2	3	9	P1	21	3	553#482#31			
M02	pair33	2	4	10	P1	21	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	21	2	610#510			
M02	pair33	2	6	12	P1	21	0				
M02	pair33	1	1	1	P1	22	1			600	
M02	pair33	1	2	2	P1	22	3		507	459#580	
M02	pair33	1	3	3	P1	22	3		483	557#551	
M02	pair33	1	4	4	P1	22	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	22	4	377#483	354#331		
M02	pair33	1	6	6	P1	22	2		59	501	
M02	pair33	2	1	7	P1	22	0				
M02	pair33	2	2	8	P1	22	1	454			
M02	pair33	2	3	9	P1	22	3	553#482#31			
M02	pair33	2	4	10	P1	22	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	22	2	610#510			
M02	pair33	2	6	12	P1	22	0				
M02	pair33	1	1	1	P1	23	1			600	
M02	pair33	1	2	2	P1	23	3		507	459#580	
M02	pair33	1	3	3	P1	23	3		483	557#551	
M02	pair33	1	4	4	P1	23	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	23	4	377#483	354#331		
M02	pair33	1	6	6	P1	23	2		59	501	
M02	pair33	2	1	7	P1	23	0				
M02	pair33	2	2	8	P1	23	1	454			
M02	pair33	2	3	9	P1	23	3	553#482#31			
M02	pair33	2	4	10	P1	23	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	23	2	610#510			
M02	pair33	2	6	12	P1	23	0				
M02	pair33	1	1	1	P1	24	1			600	
M02	pair33	1	2	2	P1	24	3		507	459#580	
M02	pair33	1	3	3	P1	24	3		483	557#551	
M02	pair33	1	4	4	P1	24	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	24	4	377#483	354#331		
M02	pair33	1	6	6	P1	24	2		59	501	
M02	pair33	2	1	7	P1	24	0				
M02	pair33	2	2	8	P1	24	1	454			
M02	pair33	2	3	9	P1	24	3	553#482#31			
M02	pair33	2	4	10	P1	24	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	24	2	610#510			
M02	pair33	2	6	12	P1	24	0				
M02	pair33	1	1	1	P1	25	1			600	
M02	pair33	1	2	2	P1	25	3		507	459#580	
M02	pair33	1	3	3	P1	25	3		483	557#551	
M02	pair33	1	4	4	P1	25	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	25	4	377#483	354#331		
M02	pair33	1	6	6	P1	25	2		59	501	
M02	pair33	2	1	7	P1	25	0				
M02	pair33	2	2	8	P1	25	1	454			
M02	pair33	2	3	9	P1	25	3	553#482#31			
M02	pair33	2	4	10	P1	25	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	25	2	610#510			
M02	pair33	2	6	12	P1	25	0				
M02	pair33	1	1	1	P1	26	1			600	
M02	pair33	1	2	2	P1	26	3		507	459#580	
M02	pair33	1	3	3	P1	26	3		483	557#551	
M02	pair33	1	4	4	P1	26	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	26	4	377#483	354#331		
M02	pair33	1	6	6	P1	26	2		59	501	
M02	pair33	2	1	7	P1	26	0				
M02	pair33	2	2	8	P1	26	1	454			
M02	pair33	2	3	9	P1	26	3	553#482#31			
M02	pair33	2	4	10	P1	26	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	26	2	610#510			
M02	pair33	2	6	12	P1	26	0				
M02	pair33	1	1	1	P1	27	1			600	
M02	pair33	1	2	2	P1	27	3		507	459#580	
M02	pair33	1	3	3	P1	27	3		483	557#551	
M02	pair33	1	4	4	P1	27	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	27	4	377#483	354#331		
M02	pair33	1	6	6	P1	27	2		59	501	
M02	pair33	2	1	7	P1	27	0				
M02	pair33	2	2	8	P1	27	1	454			
M02	pair33	2	3	9	P1	27	3	553#482#31			
M02	pair33	2	4	10	P1	27	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	27	2	610#510			
M02	pair33	2	6	12	P1	27	0				
M02	pair33	1	1	1	P1	28	1			600	
M02	pair33	1	2	2	P1	28	3		507	459#580	
M02	pair33	1	3	3	P1	28	3		483	557#551	
M02	pair33	1	4	4	P1	28	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	28	4	377#483	354#331		
M02	pair33	1	6	6	P1	28	2		59	501	
M02	pair33	2	1	7	P1	28	0				
M02	pair33	2	2	8	P1	28	1	454			
M02	pair33	2	3	9	P1	28	3	553#482#31			
M02	pair33	2	4	10	P1	28	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	28	2	610#510			
M02	pair33	2	6	12	P1	28	0				
M02	pair33	1	1	1	P1	29	1			600	
M02	pair33	1	2	2	P1	29	3		507	459#580	
M02	pair33	1	3	3	P1	29	3		483	557#551	
M02	pair33	1	4	4	P1	29	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	29	4	377#483	354#331		
M02	pair33	1	6	6	P1	29	2		59	501	
M02	pair33	2	1	7	P1	29	0				
M02	pair33	2	2	8	P1	29	1	454			
M02	pair33	2	3	9	P1	29	3	553#482#31			
M02	pair33	2	4	10	P1	29	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	29	2	610#510			
M02	pair33	2	6	12	P1	29	0				
M02	pair33	1	1	1	P1	30	1			600	
M02	pair33	1	2	2	P1	30	3		507	459#580	
M02	pair33	1	3	3	P1	30	3		483	557#551	
M02	pair33	1	4	4	P1	30	5	554	454	550#531#29	
M02	pair33	1	5	5	P1	30	4	377#483	354#331		
M02	pair33	1	6	6	P1	30	2		59	501	
M02	pair33	2	1	7	P1	30	0				
M02	pair33	2	2	8	P1	30	1	454			
M02	pair33	2	3	9	P1	30	3	553#482#31			
M02	pair33	2	4	10	P1	30	6	7#12#76#79#84#181			
M02	pair33	2	5	11	P1	30	2	610#510			
M02	pair33	2	6	12	P1	30	0				
